Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Valence,Global,USA,Australia,Canada,Ireland,UK
Jugaste y Sufrí,Corta Venas,Eslabon Armado,2020-12-18,275194,87,0.632,0.39,0.499,0.000497,0.115,-7.778,0.0381,200.156,1,0.34,0,1,0,0,0,0
Dark Red,Dark Red,Steve Lacy,2017-02-20,173104,88,0.449,0.603,0.783,7.96e-06,0.119,-4.023,0.062,172.041,4,0.775,0,1,0,0,0,0
Bubbly (with Drake & Travis Scott),Punk,Young Thug,2021-10-15,165066,84,0.0536,0.91,0.585,0.0,0.127,-7.572,0.257,129.011,4,0.599,0,1,0,1,0,0
Fancy Like,Fancy Like (feat. Kesha),Walker Hayes,2021-09-10,161853,70,0.114,0.649,0.76,0.0,0.317,-6.487,0.0574,80.018,4,0.843,0,1,0,1,0,0
RAPSTAR,Hall of Fame,Polo G,2021-06-11,165925,79,0.41,0.789,0.536,0.0,0.129,-6.862,0.242,81.039,4,0.437,0,1,0,0,0,0
Get Into It (Yuh),Planet Her,Doja Cat,2021-06-25,138293,89,0.315,0.912,0.655,3.39e-05,0.0894,-6.029,0.162,91.942,4,0.793,0,1,1,0,0,0
Girls Want Girls (with Lil Baby),Certified Lover Boy,Drake,2021-09-03,221979,90,0.181,0.767,0.438,0.0,0.142,-8.726,0.29,86.975,4,0.381,0,1,0,1,1,1
Praise God,Donda,Kanye West,2021-08-29,226652,86,0.00904,0.798,0.545,9.48e-05,0.258,-6.466,0.168,118.029,4,0.212,0,1,0,1,0,0
Hurricane,Donda,Kanye West,2021-08-29,243187,86,0.0466,0.587,0.561,0.0,0.109,-6.569,0.146,80.009,4,0.351,0,1,0,0,0,0
You Right,Planet Her,Doja Cat,2021-06-25,186173,86,0.0164,0.828,0.621,0.00233,0.0845,-6.414,0.0565,128.986,4,0.436,0,1,0,1,0,0
Not In The Mood (feat. Fivio Foreign & Kay Flock),Not In The Mood (feat. Fivio Foreign & Kay Flock),Lil Tjay,2021-10-22,150475,79,0.0951,0.545,0.82,0.0,0.29,-4.489,0.275,141.908,4,0.357,0,1,0,1,0,0
Ain't Shit,Planet Her,Doja Cat,2021-06-25,174253,87,0.506,0.855,0.488,0.0,0.347,-4.601,0.208,124.097,4,0.619,0,1,0,0,0,0
No Role Modelz,2014 Forest Hills Drive,J. Cole,2014-12-09,292986,86,0.301,0.692,0.521,0.0,0.0565,-8.465,0.33,100.45,4,0.463,0,1,0,0,0,0
Está Dañada,Alma Vacía,Ivan Cornejo,2021-08-20,214148,85,0.38,0.405,0.565,0.0195,0.107,-9.266,0.0372,159.892,3,0.166,0,1,0,0,0,0
A-O-K,TV,Tai Verdes,2021-05-20,173640,77,0.125,0.731,0.626,0.0,0.183,-6.919,0.0805,82.488,4,0.862,0,0,1,1,0,0
Missing Piece,Missing Piece,Vance Joy,2021-05-19,217408,78,0.0155,0.628,0.877,5.97e-06,0.113,-4.205,0.046,101.992,4,0.721,0,0,1,0,0,0
Dreams,Dreams,Jolyon Petch,2021-08-20,198629,41,0.151,0.781,0.673,0.0167,0.165,-5.913,0.0336,123.979,4,0.961,0,0,1,0,0,0
Little Bit of Love,Evering Road (Deluxe),Tom Grennan,2021-03-12,226268,77,0.0833,0.689,0.706,0.0,0.105,-4.48,0.0312,106.52,4,0.623,0,0,1,0,0,0
I GUESS I'M IN LOVE,I GUESS I'M IN LOVE,Clinton Kane,2021-08-20,204093,88,0.877,0.422,0.34,1.77e-05,0.149,-6.577,0.0351,77.213,4,0.223,0,0,1,0,0,0
Leave Before You Love Me (with Jonas Brothers),Leave Before You Love Me,Marshmello,2021-05-21,154983,88,0.00226,0.721,0.738,4.41e-06,0.118,-4.77,0.0403,119.976,4,0.637,0,0,1,1,0,0
Mr. Brightside,Hot Fuss,The Killers,2004,222973,83,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,148.033,4,0.236,0,0,1,0,0,1
Happier Than Ever - Edit,Happier Than Ever (Edit),Billie Eilish,2021-07-28,151444,88,0.0468,0.334,0.599,0.000392,0.205,-5.742,0.0365,161.74,3,0.127,0,0,1,0,0,0
Dreams - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,1977-02-04,257800,85,0.0644,0.828,0.492,0.00428,0.128,-9.744,0.0276,120.151,4,0.789,0,0,1,0,0,0
Alone With You,Alone With You,Arz,2021-08-21,195200,78,0.288,0.768,0.374,1.67e-06,0.111,-12.49,0.723,75.503,4,0.398,0,0,1,0,0,1
The Thrill,The Thrill,Wiz Khalifa,2020-11-11,234333,80,0.277,0.817,0.775,0.0,0.108,-4.767,0.108,126.984,4,0.806,0,0,1,0,0,0
Obsessed With You,Obsessed With You,Central Cee,2021-09-10,108650,84,0.377,0.769,0.809,0.0,0.238,-4.529,0.0554,143.074,4,0.886,0,0,1,0,1,1
Someone Like You,21,Adele,2011-01-19,285240,50,0.893,0.556,0.319,0.0,0.0996,-8.251,0.0281,135.187,4,0.294,0,0,1,0,1,1
edamame (feat. Rich Brian),eat ya veggies,bbno$,2021-10-08,133706,73,0.0229,0.815,0.849,0.000176,0.026,-4.704,0.114,106.035,4,0.685,0,0,0,1,0,0
I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,Måneskin,2021-03-19,173346,91,0.00165,0.75,0.608,0.0,0.178,-4.008,0.0387,132.507,4,0.958,0,0,0,1,0,0
Acapulco,Acapulco,Jason Derulo,2021-09-03,139672,86,0.051,0.774,0.792,0.0,0.155,-4.021,0.0523,122.062,4,0.507,0,0,0,1,0,0
"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage","Last One Standing (feat. Polo G, Mozzy & Eminem) [From Venom: Let There Be Carnage]",Skylar Grey,2021-09-30,257368,85,0.237,0.664,0.692,0.0,0.0798,-4.128,0.127,154.924,4,0.233,0,0,0,1,0,0
Present,Present,Khalid,2021-10-22,156376,78,0.00242,0.684,0.514,0.0,0.193,-8.584,0.0327,88.014,4,0.202,0,0,0,1,0,0
My Heart Goes (La Di Da) (feat. Topic),Only Honest On The Weekend,Becky Hill,2021-08-27,148960,70,0.0185,0.695,0.781,3.12e-05,0.295,-5.578,0.0452,124.04,4,0.456,0,0,0,0,1,1
Better Days,Better Days,Dermot Kennedy,2021-10-22,198221,65,0.409,0.68,0.553,0.0,0.0847,-7.116,0.042,99.999,4,0.352,0,0,0,0,1,0
Love In The Dark,25,Adele,2015-11-20,285935,83,0.536,0.495,0.323,0.0,0.109,-6.901,0.0275,109.731,4,0.14,0,0,0,0,1,1
Black Magic,Black Magic,Jonasu,2020-12-18,174193,79,0.0564,0.812,0.634,0.0,0.276,-4.96,0.163,124.074,4,0.463,0,0,0,0,1,1
Remember (and David Guetta),Only Honest On The Weekend,Becky Hill,2021-08-27,161386,73,0.0682,0.626,0.864,0.0,0.087,-3.12,0.0378,123.833,4,0.555,0,0,0,0,1,1
Talk About,Talk About,Rain Radio,2021-05-14,161040,79,0.000222,0.814,0.874,0.522,0.276,-5.316,0.0425,123.992,4,0.434,0,0,0,0,1,1
Tell Me Something Good,Tell Me Something Good,Ewan McVicar,2021-06-25,249678,73,0.00826,0.812,0.796,0.921,0.365,-10.548,0.0356,125.976,4,0.961,0,0,0,0,1,1
Love Tonight - David Guetta Remix Edit,Love Tonight (David Guetta Remix),Shouse,2021-06-11,158095,85,0.015,0.621,0.989,0.357,0.184,-4.225,0.0434,126.002,4,0.0348,0,0,0,0,1,1
Set Fire to the Rain,21,Adele,2011-01-19,242973,43,0.00408,0.603,0.67,1.68e-06,0.112,-3.882,0.0249,107.993,4,0.446,0,0,0,0,1,1
Kiss My (Uh Oh),Therapy,Anne-Marie,2021-07-23,176800,79,0.0151,0.638,0.878,0.000223,0.308,-3.639,0.0484,103.948,4,0.481,0,0,0,0,1,1
24/5,Seven Shades of Heartbreak,Mimi Webb,2021-10-22,158539,58,0.409,0.56,0.763,0.0,0.122,-4.159,0.105,91.058,4,0.346,0,0,0,0,1,1
Heartbreak Anthem (with David Guetta & Little Mix),Heartbreak Anthem (with David Guetta & Little Mix),Galantis,2021-05-20,183725,85,0.216,0.595,0.784,0.0,0.0608,-4.878,0.102,124.111,4,0.479,0,0,0,0,1,0
Giants,Without Fear,Dermot Kennedy,2019-10-04,177173,69,0.014,0.572,0.833,5.77e-05,0.129,-5.291,0.0754,158.104,4,0.588,0,0,0,0,1,0
Fly Away,Welcome To The Madhouse,Tones And I,2021-07-16,178156,75,0.217,0.806,0.513,0.0,0.217,-6.208,0.0685,124.988,4,0.503,0,0,0,0,1,0
Make You Feel My Love,19,Adele,2008-01-27,212040,80,0.907,0.317,0.172,0.000383,0.105,-10.636,0.0326,65.18,3,0.0963,0,0,0,0,1,0
Send My Love (To Your New Lover),25,Adele,2015-11-20,223078,80,0.0347,0.691,0.51,3.32e-06,0.182,-9.217,0.0878,164.055,4,0.515,0,0,0,0,1,0
Chasing Pavements,19,Adele,2008-01-27,210506,76,0.291,0.616,0.47,0.0,0.111,-6.092,0.0253,80.03,4,0.325,0,0,0,0,1,1
Red Light Green Light,Red Light Green Light,Digga D,2021-10-21,172657,70,0.5,0.741,0.627,0.0,0.301,-8.372,0.355,145.169,4,0.762,0,0,0,0,0,1
Clash (feat. Stormzy),We're All Alone In This Together,Dave,2021-07-22,251733,74,0.313,0.871,0.519,8.14e-06,0.0869,-6.549,0.258,140.013,4,0.532,0,0,0,0,0,1
Wasted,Wasted,Digga D,2021-08-13,174545,76,0.174,0.763,0.666,0.0,0.108,-10.844,0.359,143.0,4,0.69,0,0,0,0,0,1
Drive (feat. Wes Nelson),Drive (feat. Wes Nelson),Clean Bandit,2021-07-30,179374,79,0.0624,0.81,0.571,1.63e-06,0.094,-7.189,0.085,125.994,4,0.771,0,0,0,0,0,1
